component,all_matches,preferred_hardened_matches,top_preferred_titles
primitive_negative_endpoint_blocker,47,8,"Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; Forty-Two Exhaustion, Closure, and Downstream Consequence; Forty-Two Exhaustion, Closure, and Downstream Consequence; The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction; The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction"
uniqueness_admissible_interior,11156,3720,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility; The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior; The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior; The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior; The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior"
standing_admissibility_identity,1584,511,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility; Forty-Two Exhaustion, Closure, and Downstream Consequence; Persistence-Regime Realization under AASC A Fixed-Domain Realization Theorem for Irreversible Standing-Bearing Continuation; Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure; Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure"
no_second_classifier_gate,955,90,"Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure; Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure; Admissibility and the Common Structural Origin of Gauge, Constraint, and Quantum Structure; Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description; Generation Count and Residual Parameters in the Standard Model Representation Regime A Residual-Exhaustion Theorem for Fixed-Boundary Data"
no_generator_carrier_repair,4466,1355,"The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction; Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior; Unus Solus Possibilis Est Corpus Closure and Uniqueness of the Admissible Interior; Admissible Construction and the Non-Instantiability of Gödel Architectures; Forty-Two Exhaustion, Closure, and Downstream Consequence"
endpoint_exactness_nonpromotion,6095,1626,"A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints; Eadem Natura, Duo Spectra: The Forced Two-Spectrum Structure of Evaluability; Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription; Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription; Gauge-Coupling Parameters and Forced Uniqueness under Admissible Redescription"
fixed_domain_truth_admissibility,8430,3249,"Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure; Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure; Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport; Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport; Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport"
coordinate_exhaustion_route_loci,11466,3372,"Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; On the Non-Quantizability of Gravity and Constraint-Induced Rigidity of Physical Structure A Closure Theorem via Admissibility and Divergence Exhaustion; Generation Count and Residual Parameters in the Standard Model Representation Regime A Residual-Exhaustion Theorem for Fixed-Boundary Data; A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline; Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence"
ATS_anchor_tensor_skin,5674,1245,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description; Eadem Natura, Duo Spectra: The Forced Two-Spectrum Structure of Evaluability; Generation Count and Residual Parameters in the Standard Model Representation Regime A Residual-Exhaustion Theorem for Fixed-Boundary Data; Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description; Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description"
UEAP_report_discipline,10436,3453,Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output; Claim Standing and Legitimacy A Universal Audit Protocol for Laundering Exclusion and Reportable Output
AMetric_no_selector,8794,4146,"The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction; The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction; Admissible Record Construction in Physically Non-Selective Quantum Regimes Fixed-Domain Quotients, Boundary-Trace Fixation, and Constructional Determinacy Overview. This manuscript treats the measurement problem as a fixed-domain; Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility; Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence"
hidden_invariant_boundary,2639,1055,Quantum Entanglement as Boundary-Level Compatibility Unique Same-Domain Admissible Classification on the Bell Scope; INVARIANT SELECTION AND ENDPOINT STRUCTURE FOR SELF-ADJOINT EXTENSIONS; INVARIANT SELECTION AND ENDPOINT STRUCTURE FOR SELF-ADJOINT EXTENSIONS; INVARIANT SELECTION AND ENDPOINT STRUCTURE FOR SELF-ADJOINT EXTENSIONS; Neutrino Oscillation as the Unique Admissible Reconstruction of Flavor Under Noncommuting Propagation Identity Non-Conservation Under Admissible Propagation
